Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract
Lau A.C.; Henderson C.; Stains M.; Dancy M.; Merino C.; Apkarian N.; Raker J.R.; Johnson E.,"Lau, Alexandra C. (57206482974); Henderson, Charles (8934184500); Stains, Marilyne (16176531300); Dancy, Melissa (6701795946); Merino, Christian (24492099900); Apkarian, Naneh (55651427100); Raker, Jeffrey R. (36459010200); Johnson, Estrella (50261743700)",57206482974; 8934184500; 16176531300; 6701795946; 24492099900; 55651427100; 36459010200; 50261743700,Characteristics of departments with high-use of active learning in introductory STEM courses: implications for departmental transformation,2024,International Journal of STEM Education,11,1,10,,,,10.1186/s40594-024-00470-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185135332&doi=10.1186%2fs40594-024-00470-x&partnerID=40&md5=1aa15b7f0bca6dd77e547eb8df37eb52,"Background: It is well established in the literature that active learning instruction in introductory STEM courses results in many desired student outcomes. Yet, regular use of high-quality active learning is not the norm in many STEM departments. Using results of a national survey, we identified 16 departments where multiple instructors reported using high levels of active learning in their introductory chemistry, mathematics, or physics courses. We conducted interviews with 27 instructors in these 16 departments to better understand the characteristics of such departments. Results: Using grounded theory methodology, we developed a model that highlights relevant characteristics of departments with high use of active learning instruction in their introductory courses. According to this model, there are four main, interconnected characteristics of such departments: motivated people, knowledge about active learning, opportunities, and cultures and structures that support active learning. These departments have one or more people who are motivated to promote the use of active learning. These motivated people have knowledge about active learning as well as access to opportunities to promote the use of active learning. Finally, these departments have cultures and structures that support the use of active learning. In these departments, there is a positive feedback loop that works iteratively over time, where motivated people shape cultures/structures and these cultures/structures in turn increase the number and level of commitment of the motivated people. A second positive feedback loop was found between the positive outcome of using active learning instruction and the strengthening of cultures/structures supportive of active learning. Conclusions: According to the model, there are two main take-away messages for those interested in promoting the use of active learning. The first is that all four components of the model are important. A weak or missing component may limit the desired outcome. The second is that desired outcomes are obtained and strengthened over time through two positive feedback loops. Thus, there is a temporal aspect to change. In all of the departments that were part of our study, the changes took at minimum several years to enact. While our model was developed using only high-use of active learning departments and future work is needed to develop the model into a full change theory, our results do suggest that change efforts may be made more effective by increasing the robustness of the four components and the connections between them. © The Author(s) 2024."
Wu S.,"Wu, Shengqi (58903472500)",58903472500,RFID tag recognition model for Internet of Things for training room management,2024,Eurasip Journal on Information Security,2024,1,5,,,,10.1186/s13635-024-00154-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185824361&doi=10.1186%2fs13635-024-00154-7&partnerID=40&md5=b2c16c58574f20fb7240bbd5a178975f,"With the rapid development of the Internet of Things and intelligent technology, the application of Radio Frequency Identification (RFID) technology in training room management is becoming increasingly widespread. An efficient and accurate RFID system can significantly improve the management efficiency and resource utilization of the training room, thereby improving teaching quality and reducing management costs. Although RFID technology has many advantages, there are still some problems in practical applications, such as label collision and recognition of unknown labels. These issues not only affect the performance of the system but may also cause interference with actual teaching and management. This study proposes a grouping-based bit arbitration query tree algorithm and anti-collision technology to solve label collisions and reduce label recognition time in the technology. A new unknown label recognition algorithm is also proposed to improve the recognition efficiency and accuracy of identifying new unknown labels. Related experiments have shown that the recognition accuracy of the algorithm designed this time is 95.86%. Compared with other algorithms, the number of idle time slots is the smallest. When the number of queries is 1000, the algorithm has 1842 queries, and the communication complexity is the best. When the number of unknown tags is 10,000, the actual accuracy rate is 95.642%. Compared with traditional recognition algorithms, the new unknown label recognition algorithm has a smaller frame length in the same label proportion and good recognition performance. On a theoretical level, the research content on RFID technology helps to improve and develop the basic theories of the Internet of Things and intelligent recognition technology and provides solutions and application technologies for equipment management and IoT applications in training rooms. On a practical level, the research results can provide specific guidance for the management of training rooms, help solve equipment management and safety maintenance problems in practical applications, and improve the management efficiency of training rooms. © The Author(s) 2024."
Okui N.,"Okui, Nobuo (7006801354)",7006801354,Innovative decision making tools using discrete mathematics for stress urinary incontinence treatment,2024,Scientific Reports,14,1,9900,,,,10.1038/s41598-024-60407-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191805624&doi=10.1038%2fs41598-024-60407-w&partnerID=40&md5=854b24ba49f27eebc1ac35fbc35d56c9,"In this study, we applied graph theory to clinical decision-making for Stress Urinary Incontinence (SUI) treatment. Utilizing discrete mathematics, we developed a system to visually understand the shortest path to the desired treatment outcomes by considering various patient variables. Focusing on women aged 35–50, we examined the effectiveness of Tension-free Vaginal Tape (TVT) surgery and Vaginal Erbium Laser (VEL) treatment for over 15 years. The TVT group consisted of 102 patients who underwent surgery using either the Advantage Fit mid-urethral sling system (Boston Scientific Co., MA, USA) or the GYNECARE TVT retropubic system (Ethicon Inc., NJ, USA). The VEL group included 113 patients treated with a non-ablative Erbium: YAG laser (FotonaSmooth™ XS; Fotona d.o.o., Ljubljana, Slovenia), and there were 112 patients in the control group. We constructed a network diagram analyzing the correlations between health, demographic factors, treatment methods, and patient outcomes. By calculating the shortest path using heuristic functions, we identified significant correlations and treatment effects. This approach supports patient decision making by choosing between TVT and VEL treatments based on individual objectives. Our findings provide new insights into SUI treatment, highlighting the value of a data-driven personalized approach for clinical decision-making. This interdisciplinary study bridges the gap between mathematics and medicine, demonstrating the importance of a data-centric approach in clinical decisions. © The Author(s) 2024."
Rosenzweig E.Q.; Chen X.-Y.; Song Y.; Baldwin A.; Barger M.M.; Cotterell M.E.; Dees J.; Injaian A.S.; Weliweriya N.; Walker J.R.; Wiegert C.C.; Lemons P.P.,"Rosenzweig, Emily Q. (55220719200); Chen, Xiao-Yin (57895137000); Song, Yuchen (57433460900); Baldwin, Amy (56869684300); Barger, Michael M. (57210740850); Cotterell, Michael E. (55511013900); Dees, Jonathan (56435802300); Injaian, Allison S. (55795215800); Weliweriya, Nandana (57200728436); Walker, Jennifer R. (58917995500); Wiegert, Craig C. (57195735754); Lemons, Paula P. (13408362700)",55220719200; 57895137000; 57433460900; 56869684300; 57210740850; 55511013900; 56435802300; 55795215800; 57200728436; 58917995500; 57195735754; 13408362700,"Beyond STEM attrition: changing career plans within STEM fields in college is associated with lower motivation, certainty, and satisfaction about one’s career",2024,International Journal of STEM Education,11,1,15,,,,10.1186/s40594-024-00475-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186581331&doi=10.1186%2fs40594-024-00475-6&partnerID=40&md5=d71a0aa93419fc9990cbc73e6eae4475,"Background: Research and policy often focus on reducing attrition from educational trajectories leading to careers in science, technology, engineering, and mathematics (STEM), but many students change career plans within STEM. This study examined how changing career plans within STEM fields was associated with psychological indicators of career readiness. We conducted a large online survey of undergraduate students (N = 1,727) across 42 courses covering every major STEM discipline at a large U.S. research-intensive public university. Students reported about their career plans, whether plans had changed, motivation for those career plans, and satisfaction with and certainty of persisting with those plans. A trained team of coders classified whether students reported having STEM career plans at the time of the survey and at the beginning of college. Results: Students who said they had changed career plans within STEM fields during college also reported lower motivation for their new career plans, satisfaction with those plans, and certainty of persisting in them, compared to students who retained consistent STEM career plans. With few exceptions, these associations held across students’ gender, race, year in school, and STEM field of study. Within-STEM career plan changes were very common, reported by 55% of fourth-year STEM students. Women reported changing career plans within STEM fields more often than men. Implications: Results suggest that changing career plans within STEM is an important phenomenon to consider in preparing a qualified and diverse STEM workforce. Students who change career plans within STEM fields may need additional supports for their career motivation and satisfaction compared to students who do not change plans. © The Author(s) 2024."
Ligabue P.M.; Brandão A.A.F.; Peres S.M.; Cozman F.G.; Pirozelli P.,"Ligabue, Pedro de Moraes (58111261200); Brandão, Anarosa Alves Franco (23391793300); Peres, Sarajane Marques (8088491100); Cozman, Fabio Gagliardi (6701758360); Pirozelli, Paulo (57211543306)",58111261200; 23391793300; 8088491100; 6701758360; 57211543306,Applying a Context-based Method to Build a Knowledge Graph for the Blue Amazon,2024,Data Intelligence,6,1,,64,103,39,10.1162/dint_a_00223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192194818&doi=10.1162%2fdint_a_00223&partnerID=40&md5=ffaa7a62a891330db77962e64cd19b57,"Knowledge graphs are employed in several tasks, such as question answering and recommendation systems, due to their ability to represent relationships between concepts. Automatically constructing such a graphs, however, remains an unresolved challenge within knowledge representation. To tackle this challenge, we propose CtxKG, a method specifically aimed at extracting knowledge graphs in a context of limited resources in which the only input is a set of unstructured text documents. CtxKG is based on OpenIE (a relationship triple extraction method) and BERT (a language model) and contains four stages: the extraction of relationship triples directly from text; the identification of synonyms across triples; the merging of similar entities; and the building of bridges between knowledge graphs of different documents. Our method distinguishes itself from those in the current literature (i) through its use of the parse tree to avoid the overlapping entities produced by base implementations of OpenIE; and (ii) through its bridges, which create a connected network of graphs, overcoming a limitation similar methods have of one isolated graph per document. We compare our method to two others by generating graphs for movie articles from Wikipedia and contrasting them with benchmark graphs built from the OMDb movie database. Our results suggest that our method is able to improve multiple aspects of knowledge graph construction. They also highlight the critical role that triple identification and named-entity recognition have in improving the quality of automatically generated graphs, suggesting future paths for investigation. Finally, we apply CtxKG to build BlabKG, a knowledge graph for the Blue Amazon, and discuss possible improvements. © 2024 Chinese Academy of Sciences."
Kraft A.R.; Atieh E.L.; Shi L.; Stains M.,"Kraft, Annika R. (57216489582); Atieh, Emily L. (57190983255); Shi, Lu (57216487066); Stains, Marilyne (16176531300)",57216489582; 57190983255; 57216487066; 16176531300,Prior experiences as students and instructors play a critical role in instructors’ decision to adopt evidence-based instructional practices,2024,International Journal of STEM Education,11,1,18,,,,10.1186/s40594-024-00478-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188531410&doi=10.1186%2fs40594-024-00478-3&partnerID=40&md5=455ebddd7f7aef8ed5d932fc685f4e8d,"Background: There has been a growing interest in characterizing factors influencing teaching decisions of science, technology, engineering, and mathematics (STEM) instructors in order to address the slow uptake of evidence-based instructional practices (EBIPs). This growing body of research has identified contextual factors (e.g., classroom layout, departmental norms) as primary influencers of STEM instructors’ decision to implement EBIPs in their courses. However, models of influences on instructional practices indicate that context is only one type of factor to consider. Other factors fall at the individual level such as instructors’ past teaching experience and their views on learning. Few studies have been able to explore in depth the role of these individual factors on the adoption of EBIPs since it is challenging to control for contextual features when studying current instructors. Moreover, most studies exploring adoption of EBIPs do not take into account the distinctive features of each EBIP and the influence these features may have on the decision to adopt the EBIP. Rather, studies typically explore barriers and drivers to the implementation of EBIPs in general. In this study, we address these gaps in the literature by conducting an in-depth exploration of individual factors and EBIPs’ features that influence nine future STEM instructors’ decisions to incorporate a selected set of EBIPs in their teaching. Results: We had hypothesized that the future instructors would have different reasoning to support their decisions to adopt or not Peer Instruction and the 5E Model as the two EBIPs have distinctive features. However, our results demonstrate that instructors based their decisions on similar factors. In particular, we found that the main drivers of their decisions were (1) the compatibility of the EBIP with their past experiences as students and instructors as well as teaching values and (2) experiences provided in the pedagogical course they were enrolled in. Conclusions: This study demonstrates that when considering the adoption of EBIPs, there is a need to look beyond solely contextual influences on instructor’s decisions to innovate in their courses and explore individual factors. Moreover, professional development programs should leverage their participants past experiences as students and instructors and provide an opportunity for instructors to experience new EBIPs as learners and instructors. © The Author(s) 2024."
Luritawaty I.P.; Herman T.; Prabawanto S.,"Luritawaty, Irena Puji (57214158384); Herman, Tatang (57191968885); Prabawanto, Sufyani (57194535895)",57214158384; 57191968885; 57194535895,"A Case Study on Students’ Critical Thinking in Online Learning: Epistemological Obstacle in Proof, Generalization, Alternative Answer, and Problem Solving",2024,Mathematics Teaching-Research Journal,15,6,,74,93,19,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188189338&partnerID=40&md5=cb64bdd4978a479e2da2c34c513648af,"Critical thinking is a key transversal competency of the 21st century, but some students have difficulty, especially during the transition to online learning due to the COVID-19 pandemic. This study aims to identify epistemological obstacles in critical thinking related to proof, generalization, alternative answers, and problem-solving. This online learning involved 30 prospective mathematics teachers through video conferences. An exploratory case study was conducted on 9 mathematics teacher candidates with the highest exam scores. Data were collected from the results of 4 mathematical critical thinking questions. The data were analyzed and described based on a predetermined framework. The results show various epistemological obstacles in critical thinking, namely difficulty in proving the relationship between two concepts, generalizing the relationship, finding multiple alternative solutions, and solving problems. The epistemological obstacles found can be the focus of lecturers in creating more structured online learning. Online learning needs to be well-planned in terms of the use of learning resources, learning media, and integration with technology. Learning should pay more attention to understanding the relationship between concepts, the flexibility of concepts and procedures, as well as the habit of drawing in geometry learning.. © 2024 City University of New York. All rights reserved."
Masmali I.; Azeem M.; Kamran Jamil M.; Ahmad A.; Koam A.N.A.,"Masmali, Ibtisam (55606914600); Azeem, Muhammad (56030100300); Kamran Jamil, Muhammad (57236201200); Ahmad, Ali (16315161000); Koam, Ali N. A. (57199506868)",55606914600; 56030100300; 57236201200; 16315161000; 57199506868,Study of some graph theoretical parameters for the structures of anticancer drugs,2024,Scientific Reports,14,1,13301,,,,10.1038/s41598-024-64086-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195629091&doi=10.1038%2fs41598-024-64086-5&partnerID=40&md5=85f1f8c644e06a893af838c379ce36ee,"Eigenvalues have great importance in the field of mathematics, and their relevance extends beyond this area to include several other disciplines such as economics, chemistry, and numerous fields. According to our study, eigenvalues are utilized in chemistry to express a chemical compound’s numerous physical properties as well as its energy form. It is important to get a comprehensive understanding of the interrelationship underlying mathematics and chemistry. The anti-bonding phase is correlated with positive eigenvalues, whereas the bonding level is connected with negative eigenvalues. Additionally, the non-bonded level corresponds to eigenvalues of zero. This study focuses on the analysis of various structures of anticancer drugs, specifically examining their characteristic polynomials, eigenvalues of the adjacency matrix, matching number and nullity. Consequently, the selected structures of the aforementioned anticancer drugs exhibit stability since they are composed of closed-shell molecules, characterized by a nullity value of zero. © The Author(s) 2024."
Panham D.S.; Louzada F.; Ramos P.L.,"Panham, Diogo Silva (59128583800); Louzada, Francisco (54976304900); Ramos, Pedro L. (56430569600)",59128583800; 54976304900; 56430569600,"Correction to: Reducing delivery insurance costs through risk score model for food delivery company (Scientific Reports, (2024), 14, 1, (10994), 10.1038/s41598-024-57548-3)",2024,Scientific Reports,14,1,11699,,,,10.1038/s41598-024-62510-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193861408&doi=10.1038%2fs41598-024-62510-4&partnerID=40&md5=c8761ece2f5aa0a72a6ff34ce0e845dc,"Correction to: Scientific Reportshttps://doi.org/10.1038/s41598-024-57548-3, published online 14 May 2024 The Funding section in the original version of this Article was omitted. The Funding section now reads: Francisco Louzada is supported by FAPESP (grant number 2013/07,375–0). In addition, Pedro L. Ramos was incorrectly affiliated with ‘Institute of Mathematical Science and Computing, University of São Paulo, São Carlos, Brazil’. The correct affiliation is listed below: Faculty of Mathematics, Pontificia Universidad Católica de Chile, Santiago, Chile. The original Article has been corrected. © The Author(s) 2024."
Ejembi; Oche S.; Oguguo B.C.E.; Ezeanya C.O.; Okpe K.E.; Okwara V.C.; Adie I.I.; Ayek B.B.; Okpara L.I.; Ojobo B.N.,"Ejembi (58946245700); Oche, Stephen (58946369100); Oguguo, Basil C.E. (57217116154); Ezeanya, Cynthia O. (58946245800); Okpe, Kenneth E. (58946618800); Okwara, Vitalis C. (58946618900); Adie, Isaac I. (58946369200); Ayek, Bassey Bassey (58945746500); Okpara, Lovina Ijeoma (58946498400); Ojobo, Blessing Ngozi (58946122100)",58946245700; 58946369100; 57217116154; 58946245800; 58946618800; 58946618900; 58946369200; 58945746500; 58946498400; 58946122100,Relative Effectiveness of Formative Assessment Techniques on Students’ Academic Achievement in Mathematics Classroom Teaching and Learning,2024,Mathematics Teaching-Research Journal,15,6,,171,193,22,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188156641&partnerID=40&md5=fcc9fe397cc965638dfa97f030cd7d07,This mathematics classroom based experimental study determined the relative effectiveness of formative assessment techniques on students’ academic achievement in Mathematics. Factorial research design was adopted for the study involving 100 students from 2 co-educational secondary schools drawn through multistage sampling procedure. Mathematics Achievement Test was the instrument used for data collection. The reliability of the instrument was established using Kudder Richardson (KR20) formula and a reliability coefficient of 0.92 was obtained. Descriptive statistics of mean and standard deviation were used to answer the research questions and Analysis of Covariance (ANCOVA) was employed to test the hypotheses at 0.05 level of significance. The findings of the study revealed that the muddiest point formative assessment technique proved to be more effective in improving students’ academic achievement in Mathematics than the think-pair-share technique. The findings also showed that the mean achievement scores of male and female students in Mathematics are not statistically significant. The muddiest point technique should be employed regularly by teachers for classroom assessment of the students since it is more effective in improving students’ academic achievement in Mathematics. © 2024 City University of New York. All rights reserved.
Kerstjens A.; De Winter H.,"Kerstjens, Alan (57416362700); De Winter, Hans (6701396349)",57416362700; 6701396349,Molecule auto-correction to facilitate molecular design,2024,Journal of Computer-Aided Molecular Design,38,1,10,,,,10.1007/s10822-024-00549-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185224453&doi=10.1007%2fs10822-024-00549-1&partnerID=40&md5=0e08f59b3f4a6e869407eafe25370b01,"Ensuring that computationally designed molecules are chemically reasonable is at best cumbersome. We present a molecule correction algorithm that morphs invalid molecular graphs into structurally related valid analogs. The algorithm is implemented as a tree search, guided by a set of policies to minimize its cost. We showcase how the algorithm can be applied to molecular design, either as a post-processing step or as an integral part of molecule generators. Graphical abstract: (Figure presented.) © The Author(s) 2024."
Arkhipova N.A.; Evdokimova N.N.; Rudina T.V.,"Arkhipova, Natalya A. (57286101400); Evdokimova, Natalya N. (57285175000); Rudina, Tatyana V. (57285633200)",57286101400; 57285175000; 57285633200,One of the Ways to Organize Mathematical Training of Railway University Students in the Target Programs,2024,Mathematics Teaching-Research Journal,15,6,,5,19,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188182035&partnerID=40&md5=0b5373251b163679a8859c2258f7fdae,"The article discusses the organization of the educational process of railway university students in the target programs. A successful educational process will be effective if the training provided to students of the transport university is of an acceptable quality, which will lead to a high demand for a specialist. When participating in targeted training programs, the learning process can be optimized and structured within the educational framework, thereby placing emphasis on acquiring the necessary knowledge for future professional endeavors. The objective of the article was to examine how the minor program in the Mathematics discipline for students in targeted programs enhances their professional motivation. We propose to consider the characteristics of training in targeted programs by examining the training of students in the specialty 23.05.04 ""Electric power supply of railways"" at the Samara State University of Railway Transport. We believe that one way to organize the mathematical training of students in targeted programs is to use professionally oriented tasks. As the objective of the study pertains to the issues of specialized university education in the field of mathematics, the paper presents a task that is geared towards professionals for students enrolled in the targeted programs of this particular field. Furthermore, this approach to the study of mathematics yields a comprehensive understanding of one's professional pursuits, implying that the integration of the educational process is essential in the preparation of a railway transport specialist. The evaluation of the proposed methodology for the instruction of students in the targeted programs has demonstrated its efficacy. © 2024 City University of New York. All rights reserved."
Lensing F.,"Lensing, Felix (57200853100)",57200853100,On the Idea of Norm Research in Mathematics Education; [Von der Idee einer mathematikdidaktischen Normenforschung],2024,Journal fur Mathematik-Didaktik,45,2,10,,,,10.1007/s13138-024-00235-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196661902&doi=10.1007%2fs13138-024-00235-7&partnerID=40&md5=1ad4d189ec7ac178fa0ebdc7fef60463,"Mathematics education research is not only the science of mathematics education practice, but it is also the science for it. Research in mathematics education does not only aim at the theoretical study of mathematics education practice in its multiple types and forms, but it also wants to practically regulate, shape and improve it. Therefore, the methodological question arises as to how mathematics education research can do justice to its twofold research task: How can it proceed methodically if it wishes to do both a) study what is going on in mathematics education practice with theoretical ambitions and b) develop practical proposals for what ought to be going on in practice. It is precisely this methodological question that I would like to address in this paper using the example of research on norms of mathematics education practice. In this process, step by step, the idea of norm research in mathematics education will emerge, which unites the theoretical and the practical research direction of mathematics education research into a single research program. © The Author(s) 2024."
Kundu S.,"Kundu, Siddhartha (56220791400)",56220791400,"A mathematically rigorous algorithm to define, compute and assess relevance of the probable dissociation constants in characterizing a biochemical network",2024,Scientific Reports,14,1,3507,,,,10.1038/s41598-024-53231-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185142489&doi=10.1038%2fs41598-024-53231-9&partnerID=40&md5=fa9a8b99659a2855f74d1bfba25cf933,"Metabolism results from enzymatic- and non-enzymatic interactions of several molecules, is easily parameterized with the dissociation constant and occurs via biochemical networks. The dissociation constant is an empirically determined parameter and cannot be used directly to investigate in silico models of biochemical networks. Here, we develop and present an algorithm to define, compute and assess the relevance of the probable dissociation constant for every reaction of a biochemical network. The reactants and reactions of this network are modelled by a stoichiometry number matrix. The algorithm computes the null space and then serially generates subspaces by combinatorially summing the spanning vectors that are non-trivial and unique. This is done until the terms of each row either monotonically diverge or form an alternating sequence whose terms can be partitioned into subsets with almost the same number of oppositely signed terms. For a selected null space-generated subspace the algorithm utilizes several statistical and mathematical descriptors to select and bin terms from each row into distinct outcome-specific subsets. The terms of each subset are summed, mapped to the real-valued open interval 0,∞ and used to populate a reaction-specific outcome vector. The p1-norm for this vector is then the probable dissociation constant for this reaction. These steps are continued until every reaction of a modelled network is unambiguously annotated. The assertions presented are complemented by computational studies of a biochemical network for aerobic glycolysis. The fundamental premise of this work is that every row of a null space-generated subspace is a valid reaction and can therefore, be modelled as a reaction-specific sequence vector with a dimension that corresponds to the cardinality of the subspace after excluding all trivial- and redundant-vectors. A major finding of this study is that the row-wise sum or the sum of the terms contained in each reaction-specific sequence vector is mapped unambiguously to a positive real number. This means that the probable dissociation constants, for all reactions, can be directly computed from the stoichiometry number matrix and are suitable indicators of outcome for every reaction of the modelled biochemical network. Additionally, we find that the unambiguous annotation for a biochemical network will require a minimum number of iterations and will determine computational complexity. © The Author(s) 2024."
Jiang H.; Zhang L.; Zhang W.,"Jiang, Heli (58044985200); Zhang, Lijin (55991921900); Zhang, Wenlan (57211554652)",58044985200; 55991921900; 57211554652,"Influence of career awareness on STEM career interests: examining the roles of self-efficacy, outcome expectations, and gender",2024,International Journal of STEM Education,11,1,22,,,,10.1186/s40594-024-00482-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192024318&doi=10.1186%2fs40594-024-00482-7&partnerID=40&md5=a53bbfc4849f7b2d486ecb9eef9c6f03,"Background: The studies of science, technology, engineering, and mathematics (STEM) career interests have progressed substantially over the recent years. However, the influence of career awareness on STEM career interests is an area that requires further discussion. Evidently, Chinese adolescents have limited awareness and interest in STEM careers in the context of the Chinese cultural milieu, which can potentially constrain their future career trajectories. This study explored the influence of career awareness on the STEM career interests of Chinese high school students, examining the mediating roles of self-efficacy and outcome expectations for STEM courses in this relationship. Additionally, it analyzes the impact of gender on the average levels and interrelations of these variables. A sample of high school students from both eastern and western regions of China (N = 2542) was selected, and data was analyzed using a structural equation modeling approach. Results: The findings indicate that while STEM career awareness impacts various types of STEM career interests, minor differences exist in these effects. Specifically, the influence of STEM career awareness on analytical STEM career interests is entirely mediated by self-efficacy and outcome expectations in STEM courses. However, for life-survival and life-healthy STEM career interests, this mediation is only partial, with respective effects accounting for 39% and 45%. Notably, significant mean-level differences exist between male and female students in STEM career interests and self-efficacy in STEM courses, yet the relationships among these variables remain consistent across genders. Conclusions: This study underscores the pivotal influence of career awareness in molding STEM career interests, shedding light on the mediating functions of self-efficacy and outcome expectations within STEM courses. Through a gender-based analysis, it offers valuable insights into the differing inclinations of male and female high school students in the STEM realm, while also revealing consistent patterns in the relationships among these variables across genders. These findings underscore the necessity for heightened efforts to bolster STEM career awareness and fortify self-efficacy and outcome expectations within STEM courses, particularly in domains characterized by notable gender disparities, aiming to foster equitable advancement within the STEM disciplines. © The Author(s) 2024."
Ling Q.; Li X.; Pei Q.; Lei Z.; Cui P.; Xie R.L.,"Ling, Qiang (55314915900); Li, Xue (57211368177); Pei, Qin (59149928700); Lei, Zhao (36704848500); Cui, Ping (58461022800); Xie, Rui Lun (59149246900)",55314915900; 57211368177; 59149928700; 36704848500; 58461022800; 59149246900,Analyzing the methanation thermodynamic feasibility of steel plant byproduct gases,2024,Scientific Reports,14,1,12282,,,,10.1038/s41598-024-62982-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194562526&doi=10.1038%2fs41598-024-62982-4&partnerID=40&md5=3b30c541c999ed64aa69dd199f139a7e,"To improve the utilization of byproduct gases in the steel plant, the coke oven gas (COG) methanation combined with blast furnace gas (BFG) and basic oxygen furnace gas (BOFG) was proposed in viewpoint of economy and environment. The optimization mathematics model based on Gibbs free energy minimization was established to predict the thermodynamic feasibility of the proposed methanation. To solve the proposed model, the convenient method was implemented by using the Gibbs module in Aspen Plus software. Effects of operation parameters on the methanation performance were revealed to identify the optimized conditions. To reduce the solid carbon concentration, it was found that the optimized conditions of temperature, pressure and stoichiometric number were 650 °C, 30 bar and 3.0, respectively. Moreover, it was discovered that 10 mol% of BFG or BOFG could be mixed into COG to obtain the maximum methane yield. In addition, it was testified that there were the good agreements between calculated results and industrial and published data, which indicated that the proposed methanation was thermodynamically feasible. Therefore, the simple and easy method was developed to evaluate the methanation operating conditions from the aspect of thermodynamic equilibrium, which provided the basic process conditions of byproduct gases methanation to enhance the steel plant efficiency and reduce carbon emissions. © The Author(s) 2024."
Abarzhi S.I.,"Abarzhi, Snezhana I. (6701815010)",6701815010,Perspective: group theory analysis and special self-similarity classes in Rayleigh–Taylor and Richtmyer–Meshkov interfacial mixing with variable accelerations,2024,Reviews of Modern Plasma Physics,8,1,15,,,,10.1007/s41614-023-00142-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190458505&doi=10.1007%2fs41614-023-00142-3&partnerID=40&md5=6e8832f2c25597faab6d35896db624d4,"Rayleigh–Taylor (RT) and Richtmyer–Meshkov (RM) instabilities and RT/RM interfacial mixing govern a broad range of processes in nature and technology, at astrophysical and at molecular scales. They are a source of paradigm shifts in science, mathematics, and engineering. In realistic environments, RT/RM dynamics are often caused by variable accelerations. This work employs the group theory to systematically approach RT/RM dynamics with accelerations varying as power law in time and in space, through the direct link of the governing equations to the momentum model. We identify characteristics of RT dynamics and RM dynamics and RT-to-RM transitions, and investigate symmetries, invariant forms, scaling relations, correlations, fluctuation, and spectra of scale-invariant RT mixing and RM mixing. For accelerations varying in time and in space, we discover special self-similarity classes of RT/RM mixing, and explore attributes of their point and interval sub-classes. Depending upon the accelerations, the scale-invariant RT dynamics can be ballistic, quasi-Kolmogorov, steady flex, and quasi-diffusive; it can also belong to the associated super- and sub-intervals; the scale-invariant RM dynamics is sub-diffusive. For any acceleration, RT/RM mixing retains memory of the deterministic (initial and flow) conditions. These characteristics significantly impact the understanding of RT/RM relevant processes in nature, open perspectives unexplored before for better control of RT/RM instabilities in technology, and advance modeling capabilities of RT/RM dynamics in fluids, plasmas, and materials. © Division of Plasma Physics, Association of Asia Pacific Physical Societies 2024."
Lathifaturahmah L.; Nusantara T.; Subanji S.; Muksar M.,"Lathifaturahmah, Lathifaturrahmah (58198402200); Nusantara, Toto (55337998100); Subanji, Subanji (57415313700); Muksar, Makbul (57201676409)",58198402200; 55337998100; 57415313700; 57201676409,Prediction Ability of College Students in Solving Graph Problems,2024,Mathematics Teaching-Research Journal,15,6,,59,73,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188179948&partnerID=40&md5=6b5730c6869a51e9f26fcf592c7ca14a,"The capacity to generate prediction is indispensable in daily existence, particularly amidst the swift transformations that are occurring on a global scale. Therefore, this study aimed to analyze the levels of prediction ability among mathematics students when presented with data in graphs. A qualitative approach was adopted, involving 37 mathematics students, using task-based tests and interviews as data collection techniques. The results showed that the ability of most students to make a prediction based on the Covid-19 graph was at a multi-structural level of 35.14%. This level was characterized by students making predictions based on the trends of the pandemic graph patterns, but they tended to overlook the overall patterns. The prediction generated at the unistrutural, multistructural, relational, and extended abstract levels was considered reasonable because of the graph or data provided. These findings indicated the existence of predictive reasoning conducted by students in making predictions of problems related to the Covid-19 graph. The insights gained into the prediction ability prompted teachers to enhance graphic literacy instruction, to equip students with the skills needed to thrive in the 21st century. © 2024 City University of New York. All rights reserved."
